"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z1G6hYAF","true","株式会社竹中工務店","900000.0","月","001RB00001VTrmaYAD","","","2026-07-01","","","75000.0","","","Prospecting","","","","",""
"a08RB00001Z1G6iYAF","true","大京穴吹不動産株式会社","1122000.0","月","001RB00001VTrUmYAL","","","","","","93500.0","","","ValueProposition","","","","",""
"a08RB00001Z1G6jYAF","true","信和不動産株式会社 の取引","2450000.0","月","001RB00001VTrGoYAL","","","2026-06-01","","","175000.0","","","Negotiation","","","","",""
"a08RB00001Z1G6kYAF","true","株式会社ひなたや の取引","105600.0","月","001RB00001VTrGqYAL","003RB00001NsVomYAF","","","","","8800.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6lYAF","true","株式会社キムラタン の取引","7000.0","月","001RB00001VTrUQYA1","","","","","","0.0","","","Closed Won","2026-01-05","","","",""
"a08RB00001Z1G6mYAF","true","大東建託株式会社 流通設計部","3240000.0","月","001RB00001VTruMYAT","","","2026-07-22","","","270000.0","2026-04-21","","ValueProposition","","","","",""
"a08RB00001Z1G6nYAF","true","前田建設工業株式会社","900000.0","月","001RB00001VTrvVYAT","003RB00001NsLcHYAV","","","","","75000.0","","","Closed Won","2026-01-15","","","",""
"a08RB00001Z1G6oYAF","true","（株）えん道エステート の取引","0.0","月","001RB00001VTqmIYAT","003RB00001NsWwQYAV","","","","","0.0","","","Qualification","","","","",""
"a08RB00001Z1G6pYAF","true","柏井建設 株式会社","900000.0","月","001RB00001VTrI5YAL","","","2026-03-05","","","75000.0","","","Closed Won","2026-03-05","","","",""
"a08RB00001Z1G6qYAF","true","株式会社エディオン","0.0","月","001RB00001VTrURYA1","","","","2026-02-13","Timing mismatch","0.0","","","Closed Lost","2026-02-13","","","",""
"a08RB00001Z1G6rYAF","true","株式会社 トーケン","1056000.0","月","001RB00001VTrHrYAL","003RB00001NsLbNYAV","","2026-03-01","","","88000.0","","","Closed Won","2026-02-27","","","",""
"a08RB00001Z1G6sYAF","true","株式会社紀伊國屋書店","480000.0","月","001RB00001VTrUSYA1","","","2026-03-17","","","40000.0","2026-01-27","","Closed Won","2026-03-17","","","",""
"a08RB00001Z1G6tYAF","true","ヤマハ株式会社","0.0","月","001RB00001VTrPrYAL","","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6uYAF","true","コンチネンタルホーム株式会社","316800.0","月","001RB00001VTqgHYAT","","","2026-03-16","","","26400.0","","","Closed Won","2026-03-16","","","",""
"a08RB00001Z1G6vYAF","true","京王建設株式会社 の取引","0.0","月","001RB00001VTrUTYA1","003RB00001NsLbQYAV","","","","","0.0","","","Prospecting","","","","",""
"a08RB00001Z1G6wYAF","true","テスト","0.0","月","","","","","","","0.0","","","Closed Won","2025-12-25","","","",""
